violationnumber,violationtype,form,violationdate,casenumber,casetype,officer,violationjurisdiction,court,docket,appearancedate,outcomedate,outcomestat,receipt,offense,ObjectId
V21-015598,CIT DD/PDD,N918843,2021/01/17 05:00:00+00,A21-087966-1,INVESTIGAT ANI ATTACK,OFFICER FORNER,40218,,,,2021/04/17 00:00:00,VOID,,91.150,1
V21-015607,CIT DD/PDD,N918844,2021/01/21 02:05:00+00,A21-088032-2,INVESTIGAT ANI ATTACK,OFFICER FORNER,40291,04/09/21,,,,,,91.020,2
V21-015607,CIT DD/PDD,N918844,2021/01/21 02:05:00+00,A21-088032-2,INVESTIGAT ANI ATTACK,OFFICER FORNER,40291,04/09/21,,,,,,91.150,3
V20-015523,CIVIL PEN,02-100917,2020/12/30 22:47:00+00,A20-087312-8,OWNED AGGRESSIVE,OFFICER FORNER,40216,,,2021/01/30 00:00:00,,HAND ADMIN,,91.002,4
V21-015608,WARNING,01-50238,2021/01/21 14:08:00+00,A21-088042-1,INVESTIGAT NEGLI,OFFICER RATLIFF,40207,,,2021/03/21 00:00:00,2021/02/05 00:00:00,COMPLIED,,91.020,5
V21-015609,WARNING,01-50239,2021/01/21 22:27:00+00,A21-087994-1,INVESTIGAT ENCLOSURE,OFFICER RATLIFF,40220,,,2021/03/21 00:00:00,2021/02/22 00:00:00,COMPLIED,,91.020,6
V21-015613,CIT DD/PDD,N919005,2021/01/22 15:00:00+00,A20-087401-8,INVESTIGAT BITE,OFFICER MILLER,40118,03/09/21,,,,,,91.020,7
V21-015613,CIT DD/PDD,N919005,2021/01/22 15:00:00+00,A20-087401-8,INVESTIGAT BITE,OFFICER MILLER,40118,03/09/21,,,,,,91.150,8
V21-015615,CIVIL PEN,02-100753,2021/01/22 18:17:00+00,A20-087500-5,NUISANCE RESTRAINT,OFFICER MILLER,40215,,,2021/05/16 18:00:00,,HAND ADMIN,,91.004,9
V21-015615,CIVIL PEN,02-100753,2021/01/22 18:17:00+00,A20-087500-5,NUISANCE RESTRAINT,OFFICER MILLER,40215,,,2021/05/16 18:00:00,,HAND ADMIN,,91.004,10
V21-015616,VIOL CTER,VR21-209345,2021/01/22 20:30:00+00,,,,40218,,,2021/01/22 15:30:00,2021/01/22 00:00:00,COMPLIED,R21-209345,91.002,11
V21-015616,VIOL CTER,VR21-209345,2021/01/22 20:30:00+00,,,,40218,,,2021/01/22 15:30:00,2021/01/22 00:00:00,COMPLIED,R21-209345,91.020,12
V21-015616,VIOL CTER,VR21-209345,2021/01/22 20:30:00+00,,,,40218,,,2021/01/22 15:30:00,2021/01/22 00:00:00,COMPLIED,R21-209345,91.071,13
V21-015536,WARN/CP,01-51685,2021/03/20 17:39:00+00,A21-087623-3,ASSIST POLICE,OFFICER KERR,40211,03/30/21,V21-015536,2021/03/20 00:00:00,,HAND ADMIN,,91.072,14
V21-015568,VET,01-51778,2021/01/10 14:18:00+00,A21-087725-14,VET NOTICE FOLLOW UP,OFFICER FORNER,40215,,,2021/02/10 08:00:00,2021/05/04 00:00:00,DISMISSED,,91.090,15
V21-015620,VIOL CTER,VR21-209363,2021/01/23 20:42:00+00,,,,40218,,,2021/01/23 15:42:00,2021/01/23 00:00:00,COMPLIED,R21-209363,91.002,16
V21-015582,CIVIL PEN,02-100978,2021/01/14 17:44:00+00,A20-087341-2,NUISANCE RESTRAINT,OFFICER RATLIFF,40059,,,2021/04/19 18:00:00,,HAND ADMIN,,91.002,17
V21-015620,VIOL CTER,VR21-209363,2021/01/23 20:42:00+00,,,,40218,,,2021/01/23 15:42:00,2021/01/23 00:00:00,COMPLIED,R21-209363,91.020,18
V21-015587,VIOL CTER,VR21-208883,2021/01/13 22:36:00+00,,,,40218,,,2021/01/13 17:36:00,2021/01/13 00:00:00,COMPLIED,R21-208883,91.002,19
V21-015620,VIOL CTER,VR21-209363,2021/01/23 20:42:00+00,,,,40218,,,2021/01/23 15:42:00,2021/01/23 00:00:00,COMPLIED,R21-209363,91.071,20
V21-015587,VIOL CTER,VR21-208883,2021/01/13 22:36:00+00,,,,40218,,,2021/01/13 17:36:00,2021/01/13 00:00:00,COMPLIED,R21-208883,91.020,21
V21-015587,VIOL CTER,VR21-208883,2021/01/13 22:36:00+00,,,,40218,,,2021/01/13 17:36:00,2021/01/13 00:00:00,COMPLIED,R21-208883,91.071,22
V20-015516,CIT DD/PDD,N919034,2020/12/29 23:08:00+00,A20-087535-2,INVESTIGAT BITE,OFFICER STEWART,40211,04/07/21,,,,,,91.072,23
V21-015588,VIOL CTER,VR21-208965,2021/01/14 22:49:00+00,,,,40218,,,2021/01/14 17:49:00,2021/01/14 00:00:00,COMPLIED,R21-208965,91.002,24
V21-015588,VIOL CTER,VR21-208965,2021/01/14 22:49:00+00,,,,40218,,,2021/01/14 17:49:00,2021/01/14 00:00:00,COMPLIED,R21-208965,91.020,25
V20-015516,CIT DD/PDD,N919034,2020/12/29 23:08:00+00,A20-087535-2,INVESTIGAT BITE,OFFICER STEWART,40211,04/07/21,,,,,,91.150,26
V21-015583,WARNING,01-50205,2021/01/14 19:17:00+00,A21-087903-1,ASSIST SHERIFF,OFFICER MILLER,40208,,,2021/03/14 18:00:00,2021/03/26 00:00:00,DISMISSED,,91.020,27
V21-015588,VIOL CTER,VR21-208965,2021/01/14 22:49:00+00,,,,40218,,,2021/01/14 17:49:00,2021/01/14 00:00:00,COMPLIED,R21-208965,91.071,28
V21-015589,VIOL CTER,VR21-209036,2021/01/15 20:53:00+00,,,,40218,,,2021/05/01 00:00:00,2021/03/06 00:00:00,COMPLIED,,91.002,29
V21-015583,WARNING,01-50205,2021/01/14 19:17:00+00,A21-087903-1,ASSIST SHERIFF,OFFICER MILLER,40208,,,2021/03/14 18:00:00,2021/03/26 00:00:00,DISMISSED,,91.020,30
V21-015589,VIOL CTER,VR21-209036,2021/01/15 20:53:00+00,,,,40218,,,2021/05/01 00:00:00,2021/03/06 00:00:00,COMPLIED,,91.020,31
V21-015589,VIOL CTER,VR21-209036,2021/01/15 20:53:00+00,,,,40218,,,2021/05/01 00:00:00,2021/03/06 00:00:00,COMPLIED,,91.071,32
V21-015593,VIOL CTER,VR21-209050,2021/01/16 18:18:00+00,,,,40218,,,2021/01/16 13:18:00,2021/01/16 00:00:00,COMPLIED,R21-209050,91.002,33
V21-015593,VIOL CTER,VR21-209050,2021/01/16 18:18:00+00,,,,40218,,,2021/01/16 13:18:00,2021/01/16 00:00:00,COMPLIED,R21-209050,91.020,34
V21-015593,VIOL CTER,VR21-209050,2021/01/16 18:18:00+00,,,,40218,,,2021/01/16 13:18:00,2021/01/16 00:00:00,COMPLIED,R21-209050,91.071,35
